step,sim_time_s,cmd,x_m,y_m,yaw_fused,yaw_imu,left_enc,right_enc,ds,dtheta_enc
36,1.1520000000000001,STOP,-4.525327401694301e-11,1.924347937594854e-18,-2.9732143006476373e-07,-3.805502006848371e-07,-11.56090266581811,11.56090339698326,-5.3850257586418614e-15,1.1428677710699838e-12
37,1.184,STOP,-4.525758967588433e-11,1.9256490405127652e-18,-3.0148418482591113e-07,-3.8059424189995633e-07,-11.560902665821084,11.560903396986033,-4.315658941322916e-15,9.32453276018007e-13
38,1.216,STOP,-4.5261103309712665e-11,1.9267222474470152e-18,-3.054407450189029e-07,-3.806298796149576e-07,-11.560902665823516,11.560903396988301,-3.513633828333698e-15,7.626804848048365e-13
39,1.248,STOP,-4.5263891301772106e-11,1.9275842975155676e-18,-3.0920104870232397e-07,-3.806587192123345e-07,-11.56090266582551,11.560903396990167,-2.7879920594386894e-15,6.263434215725283e-13
40,1.28,STOP,-4.526614461042288e-11,1.928289075248312e-18,-3.127746092399816e-07,-3.8068205698849056e-07,-11.560902665827152,11.560903396991703,-2.253308650779217e-15,5.156596323945021e-13
41,1.312,STOP,-4.52679396190091e-11,1.9288566040480026e-18,-3.161705208818343e-07,-3.8070094188213943e-07,-11.560902665828507,11.560903396992975,-1.7950085862139538e-15,4.2630553175599136e-13
42,1.344,STOP,-4.5269390902546886e-11,1.929320140337895e-18,-3.193974697720865e-07,-3.807162238800288e-07,-11.560902665829632,11.560903396994032,-1.451283537790005e-15,3.5395753414222947e-13
43,1.3760000000000001,STOP,-4.52705366527083e-11,1.9296896032262947e-18,-3.224637454505712e-07,-3.807285913204339e-07,-11.560902665830568,11.560903396994915,-1.1457501614131608e-15,2.951567711414031e-13
44,1.408,STOP,-4.5271491444509475e-11,1.9300002707596147e-18,-3.2537725285970864e-07,-3.8073859798259946e-07,-11.560902665831353,11.560903396995656,-9.547918011776371e-16,2.4759733047897e-13
45,1.44,STOP,-4.527221708627837e-11,1.9302383868603572e-18,-3.2814552710382296e-07,-3.807466972816087e-07,-11.560902665832012,11.560903396996281,-7.256417688950025e-16,2.0839682181175237e-13
46,1.472,STOP,-4.5272789961359076e-11,1.9304278800425416e-18,-3.307757459977927e-07,-3.8075325115016767e-07,-11.560902665832568,11.56090339699681,-5.72875080706582e-16,1.761140499681614e-13
47,1.504,STOP,-4.5273324644767734e-11,1.9306060765184074e-18,-3.332747434833415e-07,-3.807585544635117e-07,-11.560902665833044,11.560903396997261,-5.346834086594757e-16,1.5046077591387932e-13
48,1.536,STOP,-4.5273706561488206e-11,1.930734266493842e-18,-3.3564902651158173e-07,-3.807628465857249e-07,-11.56090266583345,11.560903396997649,-3.819167204710536e-16,1.285546093057283e-13
49,1.568,STOP,-4.527401209486458e-11,1.9308375076840036e-18,-3.379047860045702e-07,-3.8076631936334593e-07,-11.560902665833797,11.560903396997983,-3.0553337637684256e-16,1.1068378917802617e-13
50,1.6,STOP,-4.5274241244896864e-11,1.9309154296739578e-18,-3.4004791174629386e-07,-3.8076913000395507e-07,-11.5609026658341,11.560903396998274,-2.291500322826323e-16,9.627183746213733e-14
51,1.6320000000000001,STOP,-4.5274432203257097e-11,1.9309807534749497e-18,-3.4208400675115144e-07,-3.8077140551706634e-07,-11.560902665834362,11.560903396998528,-1.9095836023552759e-16,8.387755898647294e-14
52,1.6640000000000001,STOP,-4.527462316161733e-11,1.9310464466642864e-18,-3.4401839885662093e-07,-3.8077324537866275e-07,-11.560902665834593,11.56090339699875,-1.909583602355268e-16,7.350095375103301e-14
53,1.696,STOP,-4.527473773663347e-11,1.931086073138721e-18,-3.458561540675944e-07,-3.807747352979618e-07,-11.560902665834796,11.560903396998947,-1.1457501614131576e-16,6.48537827214997e-14
54,1.728,STOP,-4.527481411997757e-11,1.9311126241486664e-18,-3.476020886488065e-07,-3.8077594100016654e-07,-11.560902665834975,11.560903396999123,-7.638334409421104e-17,5.76478068635553e-14
55,1.76,STOP,-4.527492869499371e-11,1.931152640708351e-18,-3.4926078155997615e-07,-3.8077691622007137e-07,-11.560902665835135,11.560903396999278,-1.1457501614131616e-16,5.101830907424643e-14
56,1.792,STOP,-4.527500507833781e-11,1.931179438779868e-18,-3.5083658400458735e-07,-3.807777066988649e-07,-11.560902665835279,11.560903396999418,-7.638334409421064e-17,4.611824549084423e-14
57,1.824,STOP,-4.527504327000985e-11,1.9311928949904264e-18,-3.5233363288983815e-07,-3.8077834485505946e-07,-11.560902665835407,11.560903396999544,-3.8191672047105123e-17,4.121818190744203e-14
58,1.856,STOP,-4.527511965335395e-11,1.931219916045913e-18,-3.537558587809795e-07,-3.8077886266307814e-07,-11.560902665835524,11.560903396999658,-7.638334409421064e-17,3.747107446131094e-14
59,1.8880000000000001,STOP,-4.5275081461681904e-11,1.9312063539159104e-18,-3.551069978317131e-07,-3.807792805510246e-07,-11.560902665835627,11.560903396999763,3.819167204710552e-17,3.372396701517985e-14
60,1.92,STOP,-4.5275157845026e-11,1.9312335762217367e-18,-3.563905999284202e-07,-3.8077962027927015e-07,-11.560902665835723,11.560903396999855,-7.638334409421064e-17,3.0553337637684307e-14
61,1.952,STOP,-4.5275196036698046e-11,1.931247233947032e-18,-3.5761003808488775e-07,-3.807798942823126e-07,-11.56090266583581,11.56090339699994,-3.8191672047105123e-17,2.7959186328824315e-14
62,1.984,STOP,-4.5275196036698046e-11,1.931247233947032e-18,-3.5876851735255184e-07,-3.8078011632691755e-07,-11.56090266583589,11.56090339700002,0.0,2.594151308859988e-14
